Facility_Name,Reg_No,Address,Facility_Type,Level,Bed_Capacity,County,status,View
MUNYANZA COMMUNITY NURSING HOME,014xxx,P.O BOX 76256-00506 NAIROBI,MEDICAL CENTRE,LEVEL 3B,25,KAKAMEGA,Active,
UBUNTU HEALTH LIMITED- MAZERAS MEDICAL CENTRE,014xxx,P.O BOX 20880-00202 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,KWALE,Active,
KAMULU FAMILY CARE MEDICAL CENTRE,014xxx,P.O BOX 755-00520 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
VALLEY EASTLEIGH MEDICAL CLINIC,014xxx,P.O BOX 105734-00101 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
THE RETREAT LTD NGONG ANNEX,014xxx,P.O BOX 1501-00606 NAIROBI,NURSING HOME,LEVEL 3A,108,KAJIADO,Active,
STAR HOSPITAL KISUMU ANNEX,014xxx,P.O BOX 4516-40103 KISUMU,HOSPITAL LEVEL 4,LEVEL 4,60,KISUMU,Active,
PALMED CLINIC,014xxx,P.O BOX 121-00900 KIAMBU,MEDICAL CLINIC,LEVEL 2,0,MACHAKOS,Active,
TAZAMA DENTAL KWA MENO,014xxx,P.O BOX 0722694865- NAIROBI,DENTAL CLINIC,LEVEL 2,0,NAIROBI,Active,
NILE NURSING HOME LTD,014xxx,P.O BOX 24456-00502 NAIROBI,NURSING HOME,LEVEL 3A,14,NAIROBI,Active,
KOLANYA SALVATION ARMY HEALTH CENTRE,014xxx,P.O BOX 88-50209 MALAKISI,FAITH-BASED BASIC CENTRE,LEVEL 3B,25,BUSIA,Active,
MASENO UNIVERSITY HEALTH CENTRE,014xxx,P.O BOX 333-40105 MASENO,MEDICAL CENTRE,LEVEL 3B,28,KISUMU,Active,
CHRISTIAN MISSION INTERNATIONAL-SAMBOCHO HEALTH CENTRE,014xxx,P.O BOX 129-50203 KAPSOKWONY,MISSION HOSPITAL LEVEL 3,LEVEL 3B,15,BUNGOMA,Active,
NAIROBI PLACE SPECIALISED MEDICAL CENTER LIMITED,014xxx,P.O BOX 2158-00502 NAIROBI,NURSING HOME,LEVEL 3A,40,NAIROBI,Active,
ICRH MTWAPA DICE,014xxx,P.O BOX 91109-80103 MOMBASA,MEDICAL CLINIC,LEVEL 2,0,KILIFI,Active,
ROPHY MEDICAL CENTRE,014xxx,P.O BOX 302-50241 KIPKARREN RIVER,MEDICAL CENTRE,LEVEL 3B,0,KAKAMEGA,Active,
GATUNYU SUPREME CARE,014xxx,P.O BOX 301-10200 MURANGA,MEDICAL CLINIC,LEVEL 2,0,MURANG'A,Active,
HOPEWELL CLINIC KIANJOKOMA,014xxx,P.O BOX 86-60101 MANYATTA,MEDICAL CLINIC,LEVEL 2,0,EMBU,Active,
PCEA GANGARA DISPENSARY,014xxx,P.O BOX 54-60211 KIONYO,FAITH BASED DISPENSARY,LEVEL 2,0,MERU,Active,
LIONS MEDICAL CENTRE,014xxx,P.O BOX 81871-80100 MOMBASA,NURSING HOME,LEVEL 3A,15,MOMBASA,Active,
RHENO MEDICARE CLINIC,014xxx,P.O BOX 85-50308 SEREM,MEDICAL CLINIC,LEVEL 2,0,NANDI,Active,
TEENS WATCH CENTRE,014xxx,P.O BOX 5650-80401 DIANI BEACH,MEDICAL CLINIC,LEVEL 2,0,KWALE,Active,
BORA MEDICAL CLINIC,014xxx,P.O BOX 1187-50102 MUMIAS,MEDICAL CLINIC,LEVEL 2,0,KAKAMEGA,Active,
MASALANI DIAGNOSTIC LIMITED,014xxx,P.O BOX 65-70100 GARISSA,HOSPITAL LEVEL 4,LEVEL 4,50,GARISSA,Active,
SHREE SWAMINARAYAN HOSPITAL,014xxx,P.O BOX 15977-00509 NAIROBI,HOSPITAL LEVEL 4,LEVEL 4,60,NAIROBI,Active,
CHALIANA MEDICAL CENTRE,014xxx,P.O BOX 91279-80100 MOMBASA,MEDICAL CENTRE,LEVEL 3B,18,MOMBASA,Active,
PCEA CHOGORIA MEDICAL CENTRE,014xxx,P.O BOX 35-60401 CHOGORIA,FAITH BASED DISPENSARY,LEVEL 2,0,THARAKA NITHI,Active,
JAMII WELLNESS HOSPITAL,014xxx,P.O BOX 71756-00610 NAIROBI,HOSPITAL LEVEL 4,LEVEL 4,40,NAIROBI,Active,
LEBANON CHRIS SAFE MEDICAL CENTRE,014xxx,P.O BOX 93641-80100 MOMBASA,MEDICAL CLINIC,LEVEL 2,0,MOMBASA,Active,
NAIROBI BARIATRIC CENTRE,014xxx,P.O BOX 34855-00100 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
BAQHDAD MEDICARE LIMITED,014xxx,P.O BOX 108- MANDERA,MEDICAL CENTRE,LEVEL 3B,30,MANDERA,Active,
LYSON MANYATTA MEDICAL & LABORATORY  SERVICES LIMITED,014xxx,P.O BOX 278-50103 MALAVA,NURSING HOME,LEVEL 3A,40,KAKAMEGA,Active,
MU MEDICARE CLINIC,014xxx,P.O BOX 19- MOI UNIVERSITY,MEDICAL CLINIC,LEVEL 2,0,UASIN GISHU,Active,
KIBOTANY MEDICAL CENTRE,014xxx,P.O BOX 445-20500 NAROK,MEDICAL CLINIC,LEVEL 2,0,NAROK,Active,
KIRINYAGA OPTICALS,014xxx,P.O BOX 740-10300 KERUGOYA,EYE CLINIC,LEVEL 2,0,KIRINYAGA,Active,
DANDELION MEDICAL CENTRE,014xxx,P.O BOX 13226-20100 NAKURU,MEDICAL CENTRE,LEVEL 3B,15,NAKURU,Active,
THAGANA COUNTY MEDICAL CENTRE,014xxx,P.O BOX 66-10230 SAGANA,HOSPITAL LEVEL 4,LEVEL 4,30,KIRINYAGA,Active,
LUMINOUS HILLMED LTD,014xxx,P.O BOX 285-40109 SIGOWET,MEDICAL CENTRE,LEVEL 3B,0,KERICHO,Active,
SPINE AND  SPECIALITY HOSPITAL,014xxx,P.O BOX 10259-00100 NAIROBI,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,10,NAIROBI,Active,
OSMAN MEDICAL SERVICES,014xxx,P.O BOX 27-40223 KADONGO,NURSING HOME,LEVEL 3A,75,HOMA BAY,Active,
NOOR EYECARE,014xxx,P.O BOX 40822-00100 NAIROBI,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,12,NAIROBI,Active,
RANDBURG COMMUNITY HOSPITAL,014xxx,P.O BOX 105-40100 KISUMU,HOSPITAL LEVEL 4,LEVEL 4,150,KISUMU,Active,
THE NAIROBI SOUTH HOSPITAL LTD,014xxx,P.O BOX 74079-00200 NAIROBI,NATIONAL TEACHING AND REFERRAL HOSPITAL,LEVEL 6A,250,NAIROBI,Active,
BOGOTA-BAG IMAGING AND NURSING HOME,014xxx,P.O BOX 68686-00100 NAIROBI,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,84,MANDERA,Active,
MATIBABU AMAASE MEDICAL CLINIC,014xxx,P.O BOX 150- AMUKURA,MEDICAL CLINIC,LEVEL 2,0,BUSIA,Active,
ANJILU AMANI MEDICAL CLINIC,014xxx,P.O BOX 11-60607 MIKINDURI,MEDICAL CLINIC,LEVEL 2,0,MERU,Active,
ALLORA MEDICAL PRACTICE,014xxx,P.O BOX 2120-00202 KENYATTA,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
LUMUMBA HEALTH UNIT,014xxx,P.O BOX 51-40604 RAGENGNI,MEDICAL CLINIC,LEVEL 2,0,SIAYA,Active,
ST. ANNES DISPENSARY ESHISIRU,014xxx,P.O BOX 577-50100 KAKAMEGA,FAITH BASED DISPENSARY,LEVEL 2,0,KAKAMEGA,Active,
PRIMECARE DENTAL ASSOCIATES,014xxx,P.O BOX 22958-00400 NAIROBI,DENTAL CLINIC,LEVEL 2,0,MURANG'A,Active,
KITHOKA MEDICAL CENTRE,014xxx,P.O BOX 3005-60200 MERU,MEDICAL CENTRE,LEVEL 3B,0,MERU,Active,
RIMAAL PRIME COMMUNITY HOSPITAL,014xxx,P.O BOX 29956-00100 NAIROBI,NURSING HOME,LEVEL 3A,21,MACHAKOS,Active,
WAKANDAS MEDICARE LIMITED,014xxx,P.O BOX 3863- ELDORET,MEDICAL CLINIC,LEVEL 2,0,UASIN GISHU,Active,
MATANGI HEALTH YOU CLINIC,014xxx,P.O BOX 6771-00300 RONALD NGALA,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
KENYA KAZI SERVICES,014xxx,P.O BOX 14662-00800 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
EMERALD DENTAL SURGERY LIMITED,014xxx,P.O BOX 29522-00100 NAIROBI,DENTAL CLINIC,LEVEL 2,0,NAIROBI,Active,
EXACT MEDICAL CENTRE,014xxx,P.O BOX 16-90400  MWINGI,MEDICAL CLINIC,LEVEL 2,0,KITUI,Active,
MEDICATION THERAPY MANAGEMENT LIMITED (MTM),014xxx,P.O BOX 1780-00232 RUIRU,MEDICAL CENTRE,LEVEL 3B,0,KIAMBU,Active,
RFH-HEALTHCARE-IMAARA,014xxx,P.O BOX 1050-00520 NAIROBI,NURSING HOME,LEVEL 3A,20,NAIROBI,Active,
GATUKUYU WENDANI COMMUNITY HOSPITAL,014xxx,P.O BOX 1700-00232 RUIRU,NURSING HOME,LEVEL 3A,10,KIAMBU,Active,
ST. PETER AND ANN MEDICAL CENTRE RUAKA,014xxx,P.O BOX 6865-00300 NAIROBI,HOSPITAL LEVEL 4,LEVEL 4,45,KIAMBU,Active,
ONE OAK DENTAL STUDIO,014xxx,P.O BOX 63501-00619 NAIROBI,DENTAL CLINIC,LEVEL 2,0,NAIROBI,Active,
THE AGA KHAN HEALTH SERVICES WESTEND MEDICAL CENTRE KISUMU,014xxx,P.O BOX 530-40100 KISUMU,MEDICAL CLINIC,LEVEL 2,0,KISUMU,Active,
PALACE DENTAL CENTER,014xxx,P.O BOX 53082-00200 NAIROBI,DENTAL CLINIC,LEVEL 2,0,NAIROBI,Active,
PARK EYE CENTRE,014xxx,P.O BOX 39498-00623 NAIROBI,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,0,NAIROBI,Active,
HELREN HEALTHCARE MEDICAL CENTRE,014xxx,P.O BOX 25- WEBUYE,MEDICAL CENTRE,LEVEL 3B,0,BUNGOMA,Active,
THE OAK HEALTHCARE LTD,014xxx,P.O BOX 4553-01002 THIKA,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
LVCT HEALTH PREVENTION SITE KISUMU,014xxx,P.O BOX 3294-40100 KISUMU,MEDICAL CLINIC,LEVEL 2,0,KISUMU,Active,
LVCT HEALTH PREVENTION SITE NASELIKA,014xxx,P.O BOX 3294-40100 KISUMU,MEDICAL CLINIC,LEVEL 2,0,KISUMU,Active,
UNIT HEALTHCARE,014xxx,P.O BOX 783-00520 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,MACHAKOS,Active,
DIANI BEACH HOSPITAL - LIKONI,014xxx,P.O BOX 5074-80401 DIANI,HOSPITAL LEVEL 4,LEVEL 4,20,MOMBASA,Active,
YONARIS MEDICAL CLINIC,014xxx,P.O BOX 213-50100 KAKAMEGA,MEDICAL CENTRE,LEVEL 3B,20,KAKAMEGA,Active,
PLAN MED HEALTH SERVICE LIMITED,014xxx,P.O BOX 19283-00100 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
HEMA MEDICAL CLINIC,014xxx,P.O BOX 5-50318 GAMBOGI,MEDICAL CLINIC,LEVEL 2,0,VIHIGA,Active,
BETHANY HILLCREST HOSPITAL,014xxx,P.O BOX 428-20115 EGERTON,MEDICAL CENTRE,LEVEL 3B,28,NAKURU,Active,
THE GARDEN OF SILOAM MEDICAL CLINIC,014xxx,P.O BOX 1261-00621 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
DIOCESE OF MERU KARIAKOMO HEALTH CENTRE,014xxx,P.O BOX 6-60401 CHOGORIA,FAITH BASED DISPENSARY,LEVEL 2,0,THARAKA NITHI,Active,
MANESH NEW CLINIC,014xxx,P.O BOX 133-10101 KARATINA,MEDICAL CLINIC,LEVEL 2,0,KIRINYAGA,Active,
MT. KENYA KANGEMA HOSPITAL LIMITED,014xxx,P.O BOX 15-10202 KANGEMA,MEDICAL CENTRE,LEVEL 3B,35,MURANG'A,Active,
IMANI MEDICAL CLINIC KULAMAWE,014xxx,P.O BOX 831-60300 ISIOLO,MEDICAL CLINIC,LEVEL 2,0,ISIOLO,Active,
KINGS BETTER LIFE,014xxx,P.O BOX 412-20116 GILGIL,MEDICAL CLINIC,LEVEL 2,0,NAKURU,Active,
HORTON DENTAL LLP,014xxx,P.O BOX 48942-00100 NAIROBI,DENTAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
AL-IKHLAS MEDICAL CLINIC,014xxx,P.O BOX 407-70200 WAJIR,MEDICAL CLINIC,LEVEL 2,0,WAJIR,Active,
GREENLEAF HIGHWAY CLINIC,014xxx,P.O BOX 65-40139 AKALA,MEDICAL CLINIC,LEVEL 2,0,KISUMU,Active,
BROOKS OF CHERITH MEDICAL AND NUTRITION CENTRE LIMITED,014xxx,P.O BOX 72-00202 NAIROBI,HOSPITAL LEVEL 4,LEVEL 4,25,NAIROBI,Active,
FAITH MEDICAL CLINIC - NDUMBERI,014xxx,P.O BOX 1295-00900 KIAMBU,MEDICAL CLINIC,LEVEL 2,0,KIAMBU,Active,
DR. MUSIMA AND ASSOCIATES LTD,014xxx,P.O BOX 4707-00100 NAIROBI,DENTAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
OLOIP MEDICAL CLINIC,014xxx,P.O BOX 478-00206 KISERIAN,MEDICAL CLINIC,LEVEL 2,0,KAJIADO,Active,
REHNET MEDICAL CENTER,014xxx,P.O BOX 1154-00521 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
ZAMZAM NURSING HOME RHAMU LIMITED,014xxx,P.O BOX 25-70300 RHAMU,NURSING HOME,LEVEL 3A,30,MANDERA,Active,
MULUNGE MEDICAL CLINIC,014xxx,P.O BOX 258-60602 KIANJAI,MEDICAL CLINIC,LEVEL 2,0,MERU,Active,
OLTUKAI DENTAL CLINIC,014xxx,P.O BOX 129-00206 KISERIAN,DENTAL CLINIC,LEVEL 2,0,KAJIADO,Active,
FADHILI MEDICAL CENTRE,014xxx,P.O BOX 857-00511 NAIROBI,NURSING HOME,LEVEL 3A,35,NAIROBI,Active,
GANJONI HOSPITAL MOMBASA LIMITED,014xxx,P.O BOX 94013-80107 MOMBASA,HOSPITAL LEVEL 4,LEVEL 4,100,MOMBASA,Active,
THREE BELLS MEDICAL CENTRE,014xxx,P.O BOX 3137-10400 NANYUKI,MEDICAL CENTRE,LEVEL 3B,12,NAIROBI,Active,
GERMAN MEDICAL CENTER MACHAKOS,014xxx,P.O BOX 76208-00508 NAIROBI,HOSPITAL LEVEL 4,LEVEL 4,100,MACHAKOS,Active,
ELOI HEALTH CARE CLINIC,014xxx,P.O BOX 846-10100 NYERI,MEDICAL CLINIC,LEVEL 2,0,NYERI,Active,
PHILGRACE MEDICARE CLINIC,014xxx,P.O BOX 956-20406 SOTIK,MEDICAL CLINIC,LEVEL 2,0,BOMET,Active,
ST PAULS EMUSONGA MEDICAL CENTRE,014xxx,P.O BOX 2708-50100 KAKAMEGA,FAITH-BASED COMPREHENSIVE CENTRE,LEVEL 3B,32,KAKAMEGA,Active,
WEMA UNITY HEALTHCARE LIMITED,014xxx,P.O BOX 89127-80100 MOMBASA,MEDICAL CLINIC,LEVEL 2,0,MOMBASA,Active,
JOKICHAR MEDICAL AND LABARATORY SERVICES,014xxx,P.O BOX 42-60300 ISIOLO,MEDICAL CLINIC,LEVEL 2,0,ISIOLO,Active,
OLARE MEDICAL CENTRE,014xxx,P.O BOX 178-40300  HOMABAY,MEDICAL CENTRE,LEVEL 3B,20,HOMA BAY,Active,
MOGONGA MEDICAL AND DIAGNOSTIC CENTRE,014xxx,P.O BOX 15-40218  NYANGUSU,NURSING HOME,LEVEL 3A,40,KISII,Active,
TUDOR HEALTHCARE LTD-MIRITINI,014xxx,P.O BOX 91291-80100 MOMBASA,NURSING HOME,LEVEL 3A,15,MOMBASA,Active,
GOOD SAMARITAN HEALTH SERVICES MEDICAL CENTRE,014xxx,P.O BOX 145-10306 KAGIO,MEDICAL CLINIC,LEVEL 2,0,KIRINYAGA,Active,
GATUMBI SDA DISPENSARY,014xxx,P.O BOX 151-10301  KIANYAGA,FAITH BASED DISPENSARY,LEVEL 2,0,KIRINYAGA,Active,
KORY FAMILY HOSPITAL KIMILILI,014xxx,P.O BOX 1977-50200 BUNGOMA,HOSPITAL LEVEL 4,LEVEL 4,74,BUNGOMA,Active,
SORI LAKESIDE HOSPITAL -SINDO BRANCH,014xxx,P.O BOX 77- KARUNGU,NURSING HOME,LEVEL 3A,20,HOMA BAY,Active,
EMBU TUMAINI MEDICAL SERVICES,014xxx,P.O BOX 2211-60100 EMBU,MEDICAL CLINIC,LEVEL 2,0,EMBU,Active,
QUEENTERIC ANNEX HOSPITAL,014xxx,P.O BOX 225-40601 BONDO,HOSPITAL LEVEL 4,LEVEL 4,100,SIAYA,Active,
TWINS MEDICAL CLINIC LIMITED,014xxx,P.O BOX 19544-20113 NAKURU,MEDICAL CLINIC,LEVEL 2,0,NAKURU,Active,
ELIMUNDANI HEALTH CARE KIRITIRI,014xxx,P.O BOX 25493-00603 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,EMBU,Active,
TRUST CARE MEDICAL CENTRE,014xxx,P.O BOX 435-20303 LAIKIPIA,MEDICAL CLINIC,LEVEL 2,0,LAIKIPIA,Active,
SILVERCREST MED CARE LIMITED,014xxx,P.O BOX 51-10303 WANGURU,HOSPITAL LEVEL 4,LEVEL 4,100,KIRINYAGA,Active,
NAINI MEDICAL CLINIC,014xxx,P.O BOX 678-20500 NAROK,MEDICAL CLINIC,LEVEL 2,0,NAROK,Active,
ELDORET ONCOLOGY ASSOCIATES,014xxx,P.O BOX 10548-30100 ELDORET,HOSPITAL LEVEL 4,LEVEL 4,10,UASIN GISHU,Active,
LAKE DENTAL CLINIC,015xxx,P.O BOX 7745-40100 KISUMU,DENTAL CLINIC,LEVEL 2,0,KISUMU,Active,
MINARET HOSPITAL LIMITED,015xxx,P.O BOX 18780-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,10,NAIROBI,Active,
SAMORA MEDICAL CENTRE,015xxx,P.O BOX 22-40501 IKONGE,MEDICAL CLINIC,LEVEL 2,0,NYAMIRA,Active,
EMUKAYA MEDICAL CLINIC,015xxx,P.O BOX 2410-50100 KAKAMEGA,MEDICAL CLINIC,LEVEL 2,0,KAKAMEGA,Active,
GARISSA NURSING HOME ANNEX,015xxx,P.O BOX 269-70100 GARISSA,NURSING HOME,LEVEL 3A,15,GARISSA,Active,
KATITO MEDICAL CENTRE-MBITA,015xxx,P.O BOX 1764-40100 KISUMU,HOSPITAL LEVEL 4,LEVEL 4,75,HOMA BAY,Active,
AFYAMAX MEDICAL CLINIC,015xxx,P.O BOX 1515-60200 MERU,MEDICAL CLINIC,LEVEL 2,0,MERU,Active,
LVCT HEALTH PREVENTIVE SITE MUHURU,015xxx,P.O BOX 3294-40100 KISUMU,MEDICAL CLINIC,LEVEL 2,0,MIGORI,Active,
LVCT HEALTH PREVENTIVE SITE MIGORI,015xxx,P.O BOX 3294-40100 KISUMU,MEDICAL CLINIC,LEVEL 2,0,MIGORI,Active,
LVCT HEALTH PREVENTION SITE AWENDO,015xxx,P.O BOX 3294-40100 KISUMU,MEDICAL CLINIC,LEVEL 2,0,MIGORI,Active,
LVCT HEALTH PREVENTION SITE SONDU,015xxx,P.O BOX 3294-40100 KISUMU,MEDICAL CLINIC,LEVEL 2,0,KISUMU,Active,
BAYPHARM MEDICAL CENTRE,015xxx,P.O BOX 451-40300 HOMABAY,MEDICAL CENTRE,LEVEL 3B,30,HOMA BAY,Active,
CHEBON MEDICAL CENTRE,015xxx,P.O BOX 207-50203 KAPSOKWONY,MEDICAL CENTRE,LEVEL 3B,0,BUNGOMA,Active,
MWANZO DENTAL CARE CLINIC,015xxx,P.O BOX 2639-40100 KISII,DENTAL CLINIC,LEVEL 2,0,KISII,Active,
NASRU DIN MED-CARE,015xxx,P.O BOX 137-60700 MOYALE,MEDICAL CLINIC,LEVEL 2,0,MARSABIT,Active,
NEW DEGREE MEDICAL CENTRE,015xxx,P.O BOX 110- WANGURU,NURSING HOME,LEVEL 3A,35,KIRINYAGA,Active,
KERUGOYA MEDICAL CENTRE LIMITED-KERUGOYA TOWN CLINIC,015xxx,P.O BOX 1068-10300 KERUGOYA,MEDICAL CLINIC,LEVEL 2,0,KIRINYAGA,Active,
EQUITY AFIA UMOJA,015xxx,P.O BOX 52247-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
NEEMA TUNZA MEDICAL CLINIC,015xxx,P.O BOX 2061-30200 KITALE,MEDICAL CLINIC,LEVEL 2,0,TRANS NZOIA,Active,
BIFNA MEDICAL CLINIC,015xxx,P.O BOX 407-60300 ISIOLO,MEDICAL CENTRE,LEVEL 3B,12,ISIOLO,Active,
SMART SMILE DENTAL CENTER,015xxx,P.O BOX 329-60100 EMBU,MEDICAL CENTRE,LEVEL 3B,0,EMBU,Active,
ASTRADENTAL SERVICES,015xxx,P.O BOX 2031-00606 NAIROBI,MOBILE CLINIC,LEVEL 2,0,NAIROBI,Active,
THE BONDENI MEDICAL CENTRE,015xxx,P.O BOX 43432-80100 MOMBASA,MEDICAL CENTRE,LEVEL 3B,0,LAIKIPIA,Active,
DHABIB MEDICAL CLINIC,015xxx,P.O BOX 185-70300 MANDERA,MEDICAL CLINIC,LEVEL 2,0,MANDERA,Active,
EMBU MEDICAL AND DENTAL CLINIC,015xxx,P.O BOX 1191-60100 EMBU,MEDICAL CLINIC,LEVEL 2,0,EMBU,Active,
MEDIMAX MEDICAL CENTRE LTD,015xxx,P.O BOX 3341-10400 NANYUKI,MEDICAL CENTRE,LEVEL 3B,0,LAIKIPIA,Active,
BOMBOLULU DIAGNOSTIC MEDICAL CENTRE,015xxx,P.O BOX 3383-80100 MOMBASA,NURSING HOME,LEVEL 3A,8,KILIFI,Active,
AL YUSRAA MEDICAL CENTER,015xxx,P.O BOX 126-00207 NAMANGA,MEDICAL CLINIC,LEVEL 2,0,KAJIADO,Active,
HOPLAN MEDICAL CENTER,015xxx,P.O BOX 78-40404 RONGO,NURSING HOME,LEVEL 3A,40,MIGORI,Active,
BLESSED TALBOT MEDICAL CENTRE LTD,015xxx,P.O BOX 1716-00900 KIAMBU,SPECIALIZED TREATMENT CENTRE (LEVEL 4B),LEVEL 4B,90,KIAMBU,Active,
MUIRI-INI MEDICAL CLINIC,015xxx,P.O BOX 617-01000 THIKA,MEDICAL CLINIC,LEVEL 2,0,MURANG'A,Active,
KIUNDWANI MEDICAL CLINIC,015xxx,P.O BOX 110-90137 MAKINDU,MEDICAL CLINIC,LEVEL 2,0,MAKUENI,Active,
SOGLE NURSING HOME,015xxx,P.O BOX 338-70300 MANDERA,HOSPITAL LEVEL 4,LEVEL 4,46,MANDERA,Active,
INTERNATIONAL OPTICA KILIFI,015xxx,P.O BOX 86002-80100 MOMBASA,EYE CLINIC,LEVEL 2,0,KILIFI,Active,
INTERNATIONAL OPTICA LAMU,015xxx,P.O BOX 86002-80100 MOMBASA,EYE CLINIC,LEVEL 2,0,LAMU,Active,
DR AGARWALS EYE HOSPITAL,015xxx,P.O BOX 41198-00100 NAIROBI,EYE HOSPITAL LEVEL 4,LEVEL 4,0,NAIROBI,Active,
EMALIA COMMUNITY HEALTH CENTER,015xxx,P.O BOX 382-40400 SUNA,NURSING HOME,LEVEL 3A,40,MIGORI,Active,
MELDY MEDICAL CLINIC,015xxx,P.O BOX 107-20107 NJORO,MEDICAL CLINIC,LEVEL 2,0,MACHAKOS,Active,
TRUST OPTICIANS LIMITED,015xxx,P.O BOX 62452-00200 NAIROBI,EYE CLINIC,LEVEL 2,0,NAIROBI,Active,
NAJ HOSPITAL LTD,015xxx,P.O BOX 50-10303 WANGURU,HOSPITAL LEVEL 4,LEVEL 4,79,KIRINYAGA,Active,
NEON RAPHA HEALTHCARE CLINIC,015xxx,P.O BOX 916-50102 MUMIAS,MEDICAL CENTRE,LEVEL 3B,20,KAKAMEGA,Active,
KINARA HOSPITAL,015xxx,P.O BOX 143-40500 NYAMIRA,HOSPITAL LEVEL 4,LEVEL 4,47,NYAMIRA,Active,
MOTHER KEVIN CATHOLIC HOSPITAL,015xxx,P.O BOX 3729-20100 NAKURU,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,96,NAKURU,Active,
SIAKAGO HEALTH CARE CLINIC,015xxx,P.O BOX 182-60104 SIAKAGO,MEDICAL CLINIC,LEVEL 2,0,EMBU,Active,
"IMPACT RESEARCH ,TRAINING AND HEALTHCARE SERVICES",015xxx,P.O BOX 7738-40100 KISUMU,NURSING HOME,LEVEL 3A,30,KISUMU,Active,
AFRICRYSTALCARE MEDICAL CENTRE LIMITED,015xxx,P.O BOX 303-00202 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
CHAMALO MEDICAL CLINIC,015xxx,P.O BOX 459-80108 KILIFI,MEDICAL CENTRE,LEVEL 3B,10,KILIFI,Active,
PASSIONATE CARE CLINIC,015xxx,P.O BOX 14907-20100 NAKURU,MEDICAL CLINIC,LEVEL 2,0,NAKURU,Active,
KAKAMEGA GRACE MEDICAL CENTRE,015xxx,P.O BOX 310-50100 KAKAMEGA,MEDICAL CENTRE,LEVEL 3B,17,KAKAMEGA,Active,
NOMAD DENTAL CENTRE THIKA,015xxx,P.O BOX 1849-01000 THIKA,DENTAL CLINIC,LEVEL 2,0,KIAMBU,Active,
GERTRUDES GARDEN CHILDRENS HOSPITAL JUNCTION MALL CLINIC,015xxx,P.O BOX 42325-00100 NAIROBI,MEDICAL CENTRE,LEVEL 3B,0,NAIROBI,Active,
KITALE HOSPITAL LIMITED,015xxx,P.O BOX 3406-30200 KITALE,NURSING HOME,LEVEL 3A,24,TRANS NZOIA,Active,
KAMAGAMBO ADVENTIST COLLEGE DISPENSARY,015xxx,P.O BOX 591-40200 KISII,FAITH BASED DISPENSARY,LEVEL 2,0,MIGORI,Active,
PHADAM HOSPITAL COMPANY LTD - NASRA,015xxx,P.O BOX 1183-00100 NAIROBI,HOSPITAL LEVEL 4,LEVEL 4,30,NAIROBI,Active,
JESSE KAY CHILDRENS HOSPITAL,015xxx,P.O BOX 63660-00619 NAIROBI,FAITH BASED LEVEL 4 HOSPITAL,LEVEL 4,50,NAIROBI,Active,
PRUDENT COTTAGE HOSPITAL,015xxx,P.O BOX 2370-00200 NAIROBI,HOSPITAL LEVEL 4,LEVEL 4,36,NAIROBI,Active,
SAFIWAYS HEALTHCARE,015xxx,P.O BOX 30-40503 GESIMA,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
KASARANI GYNAECOLOGY SERVICES,015xxx,P.O BOX 4013-00506 NAIROBI,MEDICAL CLINIC,LEVEL 2,0,NAIROBI,Active,
SILENT HILL HOSPITAL LIMITED,015xxx,P.O BOX 69-10106 OTHAYA,NURSING HOME,LEVEL 3A,20,NAIROBI,Active,
IKONYERO MED CARE HEALTH CLINIC,015xxx,P.O BOX 1677-50100 KAKAMEGA,MEDICAL CLINIC,LEVEL 2,0,KAKAMEGA,Active,
EBENISSI MEDICAL SERVICES LTD,015xxx,P.O BOX 73819-00200 NAIROBI,MOBILE CLINIC,LEVEL 2,0,NAIROBI,Active,
